"","Mmus_C57-6J_TA_FLT_Rep1_M23","Mmus_C57-6J_TA_FLT_Rep2_M24","Mmus_C57-6J_TA_FLT_Rep3_M25","Mmus_C57-6J_TA_FLT_Rep4_M26","Mmus_C57-6J_TA_FLT_Rep5_M27","Mmus_C57-6J_TA_FLT_Rep6_M28","Mmus_C57-6J_TA_GC_Rep1_M33","Mmus_C57-6J_TA_GC_Rep2_M34","Mmus_C57-6J_TA_GC_Rep3_M35","Mmus_C57-6J_TA_GC_Rep4_M36","Mmus_C57-6J_TA_GC_Rep5_M37","Mmus_C57-6J_TA_GC_Rep6_M38"
"ENSMUSG00000000001",793,812,854,816,850,820,961,742,644,713,696,782
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",89,95,103,108,115,112,102,98,89,75,95,102
"ENSMUSG00000000031",24947,22667,25050,34497,17978,20192,34797,31478,31941,29991,23981,31460
"ENSMUSG00000000037",3,8,5,5,6,3,13,10,6,3,4,4
"ENSMUSG00000000049",10,6,13,8,19,6,11,25,13,9,13,15
"ENSMUSG00000000056",6410,5353,6604,6049,5419,5766,6707,5901,5357,5108,5154,6103
"ENSMUSG00000000058",777,844,847,1153,915,885,1306,1017,756,937,887,1183
"ENSMUSG00000000078",2663,2394,2954,1943,1946,1995,3229,2845,2358,1989,2183,2894
"ENSMUSG00000000085",1730,1476,1810,1722,1490,1612,1977,1588,1506,1450,1361,1549
"ENSMUSG00000000088",12317,11278,12458,14159,11876,11801,12100,11464,11543,10362,9684,11806
"ENSMUSG00000000093",139,113,170,297,233,234,153,130,124,184,184,195
"ENSMUSG00000000094",66,66,47,74,62,75,78,65,78,76,60,55
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",81,95,118,44,50,56,153,104,81,96,83,103
"ENSMUSG00000000125",0,0,3,0,0,0,1,0,0,0,0,0
"ENSMUSG00000000126",446,468,444,657,515,546,724,534,562,603,458,644
"ENSMUSG00000000127",605,614,606,674,586,540,767,645,562,545,489,632
"ENSMUSG00000000131",1895,1866,2069,2059,1885,1963,2311,2075,1903,1921,1785,2088
"ENSMUSG00000000134",479,494,573,668,530,578,635,475,477,572,540,562
"ENSMUSG00000000142",478,475,497,532,489,538,552,439,417,508,461,481
"ENSMUSG00000000148",250,242,286,267,277,264,371,332,252,325,313,314
"ENSMUSG00000000149",1405,1293,1478,1711,1586,1321,1578,1192,1110,1153,1077,1259
"ENSMUSG00000000154",7,9,6,14,4,4,5,6,6,6,2,4
"ENSMUSG00000000157",0,0,0,0,1,0,1,2,0,0,0,0
"ENSMUSG00000000159",0,0,0,1,0,0,0,0,0,0,0,1
"ENSMUSG00000000167",9,13,5,8,6,6,9,15,11,4,9,10
"ENSMUSG00000000168",10052,8504,8992,11707,9288,9349,9690,8972,9336,8277,8816,10455
"ENSMUSG00000000171",8058,6948,7553,8994,7873,7589,7772,7483,7334,6648,6906,8389
"ENSMUSG00000000182",1,0,3,1,0,1,2,3,1,0,2,4
"ENSMUSG00000000183",486,399,493,346,331,329,425,226,230,361,265,269
"ENSMUSG00000000184",685,852,828,1257,780,773,1180,673,683,711,617,1123
"ENSMUSG00000000194",2107,1982,2122,2168,2195,1933,2416,2039,1877,1803,1733,1987
"ENSMUSG00000000197",29,32,25,39,32,44,47,38,28,36,32,44
"ENSMUSG00000000202",4,2,2,4,1,1,1,0,1,6,0,2
"ENSMUSG00000000204",11,17,8,28,15,11,6,4,6,10,4,10
"ENSMUSG00000000214",8,7,16,12,8,9,13,13,33,19,8,16
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000000216",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",411,342,355,480,413,441,593,330,351,433,339,359
"ENSMUSG00000000244",23,15,12,24,6,13,25,10,6,29,17,13
"ENSMUSG00000000247",9,7,6,7,4,8,7,5,6,18,3,3
"ENSMUSG00000000248",1,0,0,0,0,2,0,0,0,1,0,0
"ENSMUSG00000000253",5186,4516,5141,4400,3443,4196,5829,5444,5003,4309,4534,5542
"ENSMUSG00000000263",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",434,451,501,552,473,451,586,474,383,406,403,528
"ENSMUSG00000000275",852,889,964,1558,960,1021,1161,1003,819,1048,941,1042
"ENSMUSG00000000276",446,459,474,765,510,565,661,590,525,601,618,596
"ENSMUSG00000000278",254,346,318,396,295,345,410,276,266,297,289,323
"ENSMUSG00000000282",751,791,891,566,631,519,729,615,625,647,700,832
"ENSMUSG00000000290",94,124,139,150,77,83,145,77,73,98,64,88
"ENSMUSG00000000295",175,173,186,184,103,160,214,196,156,141,121,162
"ENSMUSG00000000296",677,601,678,646,626,556,772,673,631,495,594,639
"ENSMUSG00000000301",24,24,15,29,30,22,28,23,26,20,25,31
"ENSMUSG00000000303",17,8,21,31,7,13,17,4,10,7,16,5
"ENSMUSG00000000305",188,207,210,103,82,95,739,168,350,135,232,201
"ENSMUSG00000000308",1,1,0,2,0,0,0,2,0,0,1,0
"ENSMUSG00000000317",690,538,613,457,603,351,609,306,301,445,488,611
"ENSMUSG00000000318",40.11,51.67,58.46,88,40.72,56.6,103.88,73,45.28,55.61,52,65.7
"ENSMUSG00000000320",57,55,49,70,66,60,58,43,44,38,33,41
"ENSMUSG00000000325",538,496,480,610,565,528,678,620,534,556,480,587
"ENSMUSG00000000326",1137,959,1056,1290,1190,1174,1167,1014,992,938,903,1107
"ENSMUSG00000000339",636,639,694,717,554,694,758,604,600,567,540,644
"ENSMUSG00000000340",1948,1859,1810,2033,1829,1984,2028,1727,1710,1143,1298,1471
"ENSMUSG00000000346",2684,2585.9,3014,2772.89,2520,2732,3194,2825,2632,2699,2551.93,3040
"ENSMUSG00000000355",553,572,542,564,538,533,590,537,480,489,387,465
"ENSMUSG00000000359",111,80,108,129,113,136,156,154,121,147,125,166
"ENSMUSG00000000365",1,0,2,1,6,2,4,3,0,7,3,3
"ENSMUSG00000000374",3527,3143,3546,3512,3179,3177,3542,3160,2910,2799,2643,3179
"ENSMUSG00000000378",590,486,542,607,584,564,674,512,553,500,511,585
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1705.44,1675.42,1833.63,2245.64,1762.91,1867.95,1704.95,1690.34,1603.53,1623.57,1514.63,1734.66
"ENSMUSG00000000385",2,0,6,10,4,5,5,3,2,4,3,3
"ENSMUSG00000000386",16,11.8,7,29,3.04,5.61,15,2.24,8,10,8.18,14
"ENSMUSG00000000392",300,579,546,398,422,550,563,305,287,478,395,515
"ENSMUSG00000000394",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399",8157,7394,8257,9092,6804,7496,7742,7559,7467,6458,6406,7740
"ENSMUSG00000000402",7,16,9,20,16,15,16,5,7,9,13,16
"ENSMUSG00000000409",11,3,4,3,1,6,6,2,2,5,3,3
"ENSMUSG00000000411",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000416",72,75,66,111,102,112,108,91,89,68,75,77
"ENSMUSG00000000420",4500,3899,4321,4393,4347,4088,4710,3761,3665,3529,3250,3971
"ENSMUSG00000000435",43,16,29,37,34,31,31,27,32,25,33,31
"ENSMUSG00000000439",2233,2035,2214,2221,1930,2144,2458,2221,2089,1962,2018,2203
"ENSMUSG00000000440",128,147,148,167,127,131,204,135,124,127,92,150
"ENSMUSG00000000441",7027,6054,6952,7577,6543,6870,7108,6200,5723,5220,5046,5926
"ENSMUSG00000000486",23,31,26,28,24,49,42,19,20,38,24,17
"ENSMUSG00000000489",1273,1196,1324,1481,1295,1077,1345,955,707,1001,856,1239
"ENSMUSG00000000530",545,520,589,680,523,595,691,507,399,440,461,575
"ENSMUSG00000000531",184,175,211,303,285,217,261,174,214,206,223,239
"ENSMUSG00000000532",2430,2103,3005,2514,2724,2262,2818,2945,3379,2607,2409,2572
"ENSMUSG00000000538",5704,4996,5375,6504,5583,5702,6621,5928,5515,5832,5842,6973
"ENSMUSG00000000544",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",228,210,223,307,232,247,319,282,234,262,258,267
"ENSMUSG00000000555",617,547,602,894,776,644,712,523,439,544,462,597
"ENSMUSG00000000560",0,2,0,1,1,2,3,0,1,0,1,0
"ENSMUSG00000000561",1032.29,1015.53,981.54,1209.25,1247.12,1127.69,1303.66,1157.03,1054.86,1006.74,1078.39,1017.52
"ENSMUSG00000000562",3,6,3,10,1,8,5,2,4,2.35,2,13
"ENSMUSG00000000563",19937.92,17568.82,19143.43,21062.6,17473.98,18194.62,19475.97,18244.26,18238.41,16274.21,15746.75,18978.44
"ENSMUSG00000000567",145,128,172,184,213,180,129,87,118,104,111,108
"ENSMUSG00000000568",2533,2334,2521,2571,2794,2554,2949,2636,2450,2454,2479,2506
"ENSMUSG00000000579",143.62,92.45,74.14,152.46,116.27,127.75,127.25,168.62,94.74,157.08,93.94,164.76
"ENSMUSG00000000581",788,674,824,753,743,776,872,841,643,697,658,739
"ENSMUSG00000000594",612,689,749,624,500,618,850,624,627,558,519,676
"ENSMUSG00000000600",1694,1456,1588,1689,1646,1712,1939,1568,1448,1430,1534,1607
"ENSMUSG00000000605",3317,3021,3343,3499,2805,2985,3484,2853,2776,2382,2451,2912
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",5,9,10,14,11,7,2,5,11,15,9,10
"ENSMUSG00000000628",27302,24034,26989,30047,25543,23745,26495,24142,24136,25946,29422,35257
"ENSMUSG00000000631",16019,14792,16287,21875,19027,19183,18297,15778,15045,16879,13997,15637
"ENSMUSG00000000632",10,8,19,22,9,17,28,14,8,21,18,7
"ENSMUSG00000000673",8,4,4,6,5,5,6,5,6,14,12,4
"ENSMUSG00000000682",34,25,38,36,7,24,38,16,14,38,11,15
"ENSMUSG00000000686",20,29,27,33,34,20,26,18,24,24,14,24
"ENSMUSG00000000690",16,31,35,60,38,41,58,44,28,32,32,40
"ENSMUSG00000000693",94,155,130,222,138,155,248,120,136,139,83,136
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000708",5743.85,4991.98,5938.99,5302.98,5421.99,5561.99,6186.99,5363,4866,4928.99,4603,5188
"ENSMUSG00000000711",5874.66,5479.9,5859.53,5860.68,5227.05,5189.12,6340.2,5649.97,5466.03,5013.91,5016.42,5536.34
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,0,0,3,0
"ENSMUSG00000000730",0,1,0,0,1,0,1,5,0,0,0,0
"ENSMUSG00000000731",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000732",89,97,98,117,73,104,134,86,67,92,99,134
"ENSMUSG00000000738",3694,3245,3722,3515,3251,3334,4019,3766,3677,3262,3277,3491
"ENSMUSG00000000739",61,61,66,70,61,63,79,50,55,71,33,55
"ENSMUSG00000000740",8653.52,7344.08,7990.1,7569.13,8180.71,7380.66,8133.47,7303.29,6860.98,6025.24,5820.94,7021.67
"ENSMUSG00000000743",1683,1613,1861.99,1649,1598.99,1514,1669,1535,1434,1293,1386,1562
"ENSMUSG00000000751",2900,2470,2776,2585,2399,2552,3354,3058,3096,2330,2528,2740
"ENSMUSG00000000753",826,1147,979,1403,811,1226,1490,923,869,870,828,1094
"ENSMUSG00000000759",698,634,670,749,714,697,786,713,582,723,595,778
