"","Mmus_C57-6J_KDN_FLT_Rep1_M23","Mmus_C57-6J_KDN_FLT_Rep2_M24","Mmus_C57-6J_KDN_FLT_Rep3_M25","Mmus_C57-6J_KDN_FLT_Rep4_M26","Mmus_C57-6J_KDN_FLT_Rep5_M27","Mmus_C57-6J_KDN_FLT_Rep6_M28","Mmus_C57-6J_KDN_GC_Rep1_M33","Mmus_C57-6J_KDN_GC_Rep2_M34","Mmus_C57-6J_KDN_GC_Rep3_M35","Mmus_C57-6J_KDN_GC_Rep4_M36","Mmus_C57-6J_KDN_GC_Rep5_M37","Mmus_C57-6J_KDN_GC_Rep6_M38"
"ENSMUSG00000000001",2811,2742,3578,3118,3610,3102,3094,3112,3195,3158,3339,2958
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",59,49,102,72,80,84,56,75,60,64,56,79
"ENSMUSG00000000031",26,19,17,23,26,18,15,21,21,25,24,18
"ENSMUSG00000000037",20,26,37,30,22,20,20,27,8,20,30,36
"ENSMUSG00000000049",0,1,5,10,0,4,1,4,10,2,1,1
"ENSMUSG00000000056",1244,1162,1981,1135,1553,1411,1527,1350,1434,1565,1549,1367
"ENSMUSG00000000058",1307,1494,1657,1327,1550,1476,1573,1512,1297,1446,1223,1255
"ENSMUSG00000000078",2729,2162,2540,2050,2374,2261,2087,2453,1953,2116,2155,2263
"ENSMUSG00000000085",787,683,1024,775,842,869,878,787,797,838,875,784
"ENSMUSG00000000088",6152,5816,7526,5730,6708,5273,5195,5291,6144,6309,6356,5355
"ENSMUSG00000000093",3401,3540,3536,3296,3320,3020,2615,3495,3015,3597,3070,3204
"ENSMUSG00000000094",3,5,3,0,0,2,2,0,2,1,0,2
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",94,117,110,110,125,105,136,112,98,87,82,142
"ENSMUSG00000000125",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000000126",72,88,114,57,98,107,101,137,82,106,65,83
"ENSMUSG00000000127",552,502,657,568,679,627,562,522,494,557,546,549
"ENSMUSG00000000131",1857,1716,2500,1930,2196,1892,2001,1950,1885,1939,2033,2231
"ENSMUSG00000000134",1002,956,1377,1042,1209,1099,990,1024,1061,1194,1024,1074
"ENSMUSG00000000142",184,194,218,139,207,232,297,354,147,235,238,171
"ENSMUSG00000000148",556,597,737,515,576,557,539,675,617,636,615,592
"ENSMUSG00000000149",5530,4940,5782,5417,5071,5037,4790,5312,4940,6259,5518,5234
"ENSMUSG00000000154",8108,6498,8380,5811,6858,5661,5715,6037,8186,6753,7963,5995
"ENSMUSG00000000157",0,1,1,0,0,1,0,0,0,1,0,1
"ENSMUSG00000000159",1062.38,936.37,1530.02,1139.24,1409.99,1154.93,1129.45,1180.6,1045.32,1329.33,1162.65,1132.31
"ENSMUSG00000000167",73,59,70,69,96,69,51,50,52,72,73,42
"ENSMUSG00000000168",4197,4066,5266,4262,4769,3749,3721,3738,4313,4295,4341,3690
"ENSMUSG00000000171",5729,5445,7429,5632,6322,5044,5507,5410,6462,6563,6348,5399
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",1,1,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000184",995,1036,1301,1547,1475,1522,1345,1335,1078,1324,1121,1423
"ENSMUSG00000000194",1979,1783,2423,2109,2334,2104,2061,2032,2016,2148,2122,2219
"ENSMUSG00000000197",14,9,13,17,12,8,9,5,8,8,18,14
"ENSMUSG00000000202",0,1,5,4,0,1,0,2,0,2,4,1
"ENSMUSG00000000204",5,6.05,9,32.11,13,5,2,7,3,3,6,12
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",2,1,3,0,1,1,2,1,3,0,1,0
"ENSMUSG00000000216",1966,1906,2430,2378,1972,1923,2043,1819,1799,2178,2009,2041
"ENSMUSG00000000223",2,4,4,2,7,4,6,9,2,7,8,2
"ENSMUSG00000000244",13,15,18,34,22,25,13,18,21,18,24,32
"ENSMUSG00000000247",28,28,26,30,12,21,27,38,13,13,48,27
"ENSMUSG00000000248",0,0,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000000253",2365,1887,2639,2032,2131,1939,1632,1555,1688,1590,1850,1482
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000000266",901,799,1149,889,1143,923,980,992,928,976,1060,930
"ENSMUSG00000000275",4141,3900,4731,5232,4633,3979,3817,4150,4307,4909,4092,4147
"ENSMUSG00000000276",410,322,540,431,503,409,412,411,325,435,401,420
"ENSMUSG00000000278",3712,3907,3876,4049,3946,3171,2827,3245,3780,4027,3263,3242
"ENSMUSG00000000282",1466,1272,1503,1288,1511,1417,1050,1279,1106,1568,1424,1278
"ENSMUSG00000000290",150,187,230,379,257,300,269,281,155,205,143,313
"ENSMUSG00000000295",203,185,262,177,205,199,157,196,188,230,215,204
"ENSMUSG00000000296",495,474,693,358,472,421,443,511,466,477,495,373
"ENSMUSG00000000301",36,34,38,22,19,23,17,40,35,20,23,22
"ENSMUSG00000000303",12809,11746,17678,10339,13981,11980,12760,13069,11842,13013,13801,10172
"ENSMUSG00000000305",124,95,167,130,126,144,114,141,106,123,122,134
"ENSMUSG00000000308",1932,1794,2547,1763,1688,1666,1927,1807,1780,2360,2019,1801
"ENSMUSG00000000317",184,179,220,184,184,172,235,173,156,276,226,273
"ENSMUSG00000000318",10.24,18,27.7,26.64,20.31,38.4,22.48,25.29,22.15,23.14,19,35
"ENSMUSG00000000320",156,139,251,186,203,143,195,166,172,196,186,161
