"","Mmus_C57-6J_SLS_FLT_Rep1_M23","Mmus_C57-6J_SLS_FLT_Rep2_M24","Mmus_C57-6J_SLS_FLT_Rep3_M25","Mmus_C57-6J_SLS_FLT_Rep4_M26","Mmus_C57-6J_SLS_FLT_Rep5_M27","Mmus_C57-6J_SLS_FLT_Rep6_M28","Mmus_C57-6J_SLS_GC_Rep1_M33","Mmus_C57-6J_SLS_GC_Rep2_M34","Mmus_C57-6J_SLS_GC_Rep3_M35","Mmus_C57-6J_SLS_GC_Rep4_M36","Mmus_C57-6J_SLS_GC_Rep5_M37","Mmus_C57-6J_SLS_GC_Rep6_M38"
"ENSMUSG00000000001",869,706,835,871,1069,700,1205,908,1078,877,884,911
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",91,121,87,139,193,104,145,117,135,114,128,130
"ENSMUSG00000000031",68226,64898,85595,90775,71300,56376,143726,104717,128088,115071,108243,118878
"ENSMUSG00000000037",7,8,9,11,11,5,21,10,10,5,3,16
"ENSMUSG00000000049",11,11,23,18,66,10,13,9,12,8,15,12
"ENSMUSG00000000056",3823,3778,4671,4762,4995,3712,6350,5340,5693,5511,5254,5531
"ENSMUSG00000000058",932,700,764,875,985,641,1133,728,893,1044,863,733
"ENSMUSG00000000078",2802,2224,2636,1953,2549,1685,3273,3237,3482,2470,2580,2836
"ENSMUSG00000000085",1639,1617,2000,2027,2095,1641,2209,1840,2103,1859,1922,1844
"ENSMUSG00000000088",17622,16698,21025,20340,23590,16920,21033,20007,23309,19136,19548,19698
"ENSMUSG00000000093",114,123,185,159,257,94,135,94,124,156,168,162
"ENSMUSG00000000094",191,149,190,276,268,217,255,171,219,215,232,220
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",44,56,85,68,54,34,69,23,55,30,34,57
"ENSMUSG00000000125",3,8,1,6,0,3,0,0,2,4,0,2
"ENSMUSG00000000126",476,500,766,848,770,569,772,695,739,734,776,680
"ENSMUSG00000000127",722,694,723,665,811,671,1109,984,957,925,908,850
"ENSMUSG00000000131",395,487,682,512,547,368,631,381,463,529,501,496
"ENSMUSG00000000134",462,463,634,631,775,552,789,609,684,658,681,578
"ENSMUSG00000000142",1227,1113,1499,1588,1996,1174,1270,1015,1167,987,1219,1034
"ENSMUSG00000000148",294,355,403,454,444,390,524,554,500,489,486,507
"ENSMUSG00000000149",1731,1906,2442,2259,2799,1716,3072,2565,2849,2433,2591,2681
"ENSMUSG00000000154",23,13,17,20,11,11,14,22,15,9,7,16
"ENSMUSG00000000157",0,0,0,0,1,0,0,0,0,3,0,1
"ENSMUSG00000000159",6.97,1,3,0,1,1,0,1,0,4,0,0
"ENSMUSG00000000167",15,3,5,3,5,8,18,6,12,11,10,6
"ENSMUSG00000000168",9239,8798,10130,10888,12275,8734,10874,10658,12274,9915,9970,10189
"ENSMUSG00000000171",8671,8226,9718,10239,12127,8677,11016,10611,12674,9693,10131,10054
"ENSMUSG00000000182",7,3,2,5,0,2,4,3,1,4,4,1
"ENSMUSG00000000183",366,462,467,190,359,211,507,337,426,354,474,291
"ENSMUSG00000000184",765,815,992,1103,1060,562,1600,974,1179,1309,1114,1235
"ENSMUSG00000000194",1659,1636,2136,2047,2360,1618,2597,2081,2297,2120,2208,2194
"ENSMUSG00000000197",36,65,56,46,84,45,66,53,40,66,68,47
"ENSMUSG00000000202",0,1,3,4,5,5,1,0,1,2,3,3
"ENSMUSG00000000204",0,3,4,8,18,2,2,0,5,23,1,5
"ENSMUSG00000000214",6,37,16,12,16,7,15,7,13,6,25,10
"ENSMUSG00000000215",1,1,0,0,0,1,1,0,0,0,0,0
"ENSMUSG00000000216",9,3,0,1,2,0,0,0,0,1,0,0
"ENSMUSG00000000223",595,1334,1623,766,1036,593,1643,1092,2005,1241,1089,1404
"ENSMUSG00000000244",14,10,17,11,21,7,21,10,11,20,8,17
"ENSMUSG00000000247",7,12,10,20,12,1,22,7,10,14,11,6
"ENSMUSG00000000248",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000253",5254,5058,5965,5439,6102,4328,5618,4883,5607,4702,4772,4914
