"","Mmus_C57-6J_EDL_FLT_Rep1_M23","Mmus_C57-6J_EDL_FLT_Rep2_M26","Mmus_C57-6J_EDL_FLT_Rep3_M27","Mmus_C57-6J_EDL_FLT_Rep4_M28","Mmus_C57-6J_EDL_FLT_Rep5_M29","Mmus_C57-6J_EDL_FLT_Rep6_M30","Mmus_C57-6J_EDL_GC_Rep1_M31","Mmus_C57-6J_EDL_GC_Rep2_M32","Mmus_C57-6J_EDL_GC_Rep3_M37","Mmus_C57-6J_EDL_GC_Rep4_M38","Mmus_C57-6J_EDL_GC_Rep5_M39","Mmus_C57-6J_EDL_GC_Rep6_M40"
"ENSMUSG00000000001",909,1408,1421,1444,1508,1413,1339,1026,1058,1207,1160,1133
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",90,180,232,126,154,149,161,159,150,173,146,177
"ENSMUSG00000000031",26779,42757,24304,31095,30104,31753,38976,21904,34635,29431,32538,31259
"ENSMUSG00000000037",4,9,8,8,14,8,14,6,5,9,7,8
"ENSMUSG00000000049",14,28,53,18,21,19,20,26,37,22,22,42
"ENSMUSG00000000056",7403,11353,11227,9764,10791,10135,11896,10068,10283,10883,12213,11083
"ENSMUSG00000000058",700,1259,988,1268,1400,1175,1192,661,951,807,1119,986
"ENSMUSG00000000078",2294,2677,2503,2878,3780,3741,3049,2762,3137,2940,3730,3258
"ENSMUSG00000000085",1765,2706,2622,2339,2605,2398,2552,2332,2519,2514,2600,2531
"ENSMUSG00000000088",18118,28168,31245,23269,23828,22736,23492,20105,23190,20821,20294,23677
"ENSMUSG00000000093",87,175,178,187,177,168,154,133,236,155,157,227
"ENSMUSG00000000094",78,94,110,120,99,102,108,99,151,113,109,117
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",41,55,67,69,67,67,133,80,80,104,63,70
"ENSMUSG00000000125",2,3,6,5,7,3,3,3,0,3,3,9
"ENSMUSG00000000126",551,1267,1049,887,982,841,1014,941,853,948,901,1118
"ENSMUSG00000000127",635,1024,882,822,914,887,953,755,772,815,937,726
"ENSMUSG00000000131",294,558,491,622,700,628,585,477,659,625,615,659
"ENSMUSG00000000134",534,964,854,782,910,787,802,686,768,718,773,753
"ENSMUSG00000000142",760,1160,1236,1106,1133,1214,1343,1154,1473,1236,1213,1224
"ENSMUSG00000000148",356,472,542,441,506,506,507,466,443,475,477,518
"ENSMUSG00000000149",1944,3336,3370,2649,2899,2687,2410,2080,2383,2316,2289,2476
"ENSMUSG00000000154",13,20,3,10,12,7,16,7,9,16,12,15
"ENSMUSG00000000157",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000159",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000167",15,19,8,6,8,7,11,2,15,14,8,15
"ENSMUSG00000000168",11880,18968,19232,15765,15897,15692,15825,12850,14803,14030,13704,16866
"ENSMUSG00000000171",9772,15529,17779,13967,13662,12525,13861,11549,12773,12452,12213,14244
"ENSMUSG00000000182",1,1,1,4,7,11,4,4,4,2,0,8
"ENSMUSG00000000183",333,467,453,421,511,416,708,422,424,435,608,363
"ENSMUSG00000000184",792,1731,1197,1253,1635,1558,1531,708,1132,1296,1201,1066
"ENSMUSG00000000194",2054,3260,3405,2972,3137,2771,3136,2850,2783,2769,3086,3277
"ENSMUSG00000000197",56,68,100,67,99,60,118,59,77,66,96,64
"ENSMUSG00000000202",3,2,0,1,9,4,1,6,1,1,5,8
"ENSMUSG00000000204",2,9,3,3,4,4,3.01,1,1,0,6.04,1
"ENSMUSG00000000214",8,22,28,13,17,12,13,20,14,46,11,17
"ENSMUSG00000000215",0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",366,562,667,1177,922,1056,788,1202,1240,959,986,1231
"ENSMUSG00000000244",7,20,12,20,17,19,8,6,12,18,20,7
"ENSMUSG00000000247",5,4,2,4,5,4,3,1,3,0,2,2
"ENSMUSG00000000248",0,1,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000000253",5629,7310,7602,6666,7406,7398,9800,9062,9895,9731,8815,9392
"ENSMUSG00000000263",0,0,2,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000266",425,820,755,744,832,701,697,433,548,574,662,549
"ENSMUSG00000000275",712,1677,1300,1265,1221,1164,1163,1017,1213,1231,1256,1232
"ENSMUSG00000000276",311,687,559,555,532,554,661,498,652,514,569,583
"ENSMUSG00000000278",516,887,856,772,838,672,705,522,719,669,748,715
"ENSMUSG00000000282",1069,834,988,745,1001,1331,937,1121,1349,1079,1012,1209
"ENSMUSG00000000290",155,313,163,210,246,176,159,99,115,143,218,107
"ENSMUSG00000000295",171,327,297,293,306,280,298,320,301,273,295,306
"ENSMUSG00000000296",1020,1336,1593,1308,1345,1326,1688,1320,1421,1440,1575,1357
"ENSMUSG00000000301",30,71,68,39,52,38,47,38,55,44,48,58
"ENSMUSG00000000303",9,31,24,44,36,60,25,61,65,39,37,35
"ENSMUSG00000000305",167,189,142,147,146,140,243,288,156,166,212,167
"ENSMUSG00000000308",3,0,0,3,0,2,0,0,0,0,3,0
"ENSMUSG00000000317",382,609,434,695,892,998,649,310,560,398,434,393
"ENSMUSG00000000318",65.19,139.31,102.43,89.69,76.42,66.46,118.84,103.14,96.89,102.25,120.95,103
"ENSMUSG00000000320",78,136,153,114,95,105,112,91,104,62,78,109
"ENSMUSG00000000325",745,1179,1318,1176,1039,947,1041,914,1014,927,1131,1127
"ENSMUSG00000000326",1483,2637,2890,2391,2273,2103,1995,1884,2336,1969,2040,2295
"ENSMUSG00000000339",879,1550,1660,1297,1387,1286,1260,1202,1293,1281,1308,1344
"ENSMUSG00000000340",2344,3821,3777,3285,3356,2965,3514,3129,2686,2694,2821,2504
"ENSMUSG00000000346",3567.44,5550.91,5847.9,5075.8,5161,4933.9,5215,4360,5028.3,4840,5105.89,5677
"ENSMUSG00000000355",591,892,890,808,831,761,875,631,605,655,865,673
"ENSMUSG00000000359",70,116,88,124,124,100,119,96,139,138,121,96
"ENSMUSG00000000365",2,6,3,7,3,5,1,1,13,6,4,1
"ENSMUSG00000000374",3860,6033,6339,5229,5439,5491,5266,5017,5017,4924,5157,5268
"ENSMUSG00000000378",655,1139,1254,1048,1097,1000,1185,1038,1140,1157,1208,1135
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",2142.59,4070.1,4282.04,3294.05,3233.22,3049.89,2997.89,2606.61,3205.47,2921.05,2619.84,3392.43
"ENSMUSG00000000385",4,8,3,2,5,4,12,7,6,5,11,4
"ENSMUSG00000000386",5,18,8.49,5,3,6.97,12,2,2,14,2,2
"ENSMUSG00000000392",336,425,292,358,476,380,334,263,292,237,444,257
"ENSMUSG00000000394",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000000399",11157,16985,17630,14312,14919,14151,14879,12929,15295,13361,13332,15297
"ENSMUSG00000000402",31,60,47,41,63,38,69,37,52,51,50,56
"ENSMUSG00000000409",2,7,3,7,3,1,1,4,8,1,5,5
"ENSMUSG00000000411",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000416",79,92,114,117,95,95,77,107,128,108,109,111
"ENSMUSG00000000420",4928,7697,8054,6744,7307,6858,6910,6069,6371,6303,7462,6492
"ENSMUSG00000000435",29,45,43,66,58,61,51,37,57,66,57,75
"ENSMUSG00000000439",2598,4398,4471,3627,3810,3648,4105,3838,4157,3809,3932,4324
"ENSMUSG00000000440",78,205,162,157,166,134,105,53,101,148,81,130
"ENSMUSG00000000441",7524,12369,13556,11111,11749,10995,10612,10817,11435,10758,11318,11429
"ENSMUSG00000000486",27,36,39,45,38,37,24,18,28,34,26,25
"ENSMUSG00000000489",1126,2088,1899,2169,2381,2279,1604,1173,1581,1445,1285,1720
"ENSMUSG00000000530",587,1069,989,961,1125,941,862,590,973,860,799,810
"ENSMUSG00000000531",176,412,380,375,349,353,320,235,410,321,281,325
"ENSMUSG00000000532",2366,4072,4142,3326,3976,3707,3625,4667,4191,5088,4206,5723
"ENSMUSG00000000538",6281,11390,10376,10107,10290,9735,10141,8572,9997,9676,9831,11516
"ENSMUSG00000000544",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",501,754,787,676,709,583,794,598,788,629,678,695
"ENSMUSG00000000555",1008,1985,1398,1538,1654,1238,1028,663,866,832,968,917
"ENSMUSG00000000560",2,6,1,9,0,1,3,2,2,3,2,1
"ENSMUSG00000000561",1016.72,2011.25,1922.43,1761.08,1622.66,1501.65,1727.81,1446.03,1406.67,1466.2,1552.27,1544.82
"ENSMUSG00000000562",3,9,3.9,3.92,4,6,9,1,3,6,7,7
"ENSMUSG00000000563",24271.37,37733.1,39181.57,31667.93,32553.46,31135.99,33709.51,26544.83,29575.09,27788.92,29563.71,30780.72
"ENSMUSG00000000567",228,358,356,353,277,275,303,209,220,180,240,246
"ENSMUSG00000000568",2747,4161,4224,3612,3673,3638,4273,3481,3441,3317,4044,3549
"ENSMUSG00000000579",67.78,70.75,100.65,42.34,77.15,74.79,50.81,58.61,70.88,41.97,80.44,88.38
"ENSMUSG00000000581",930,1292,1347,1164,1205,1102,1235,1093,988,1101,1331,1130
"ENSMUSG00000000594",886,1391,1230,1166,1405,1311,1278,1094,1242,1264,1311,1173
"ENSMUSG00000000600",937,1505,1629,1330,1445,1367,1283,1049,1173,1187,1208,1215
"ENSMUSG00000000605",4322,6501,6436,5431,5936,5841,5530,4869,4808,4871,5476,4834
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",4,7,11,3,7,14,12,10,5,7,11,10
"ENSMUSG00000000628",37484,54863,53285,45567,49713,45489,48866,38120,41506,41016,38793,58983
"ENSMUSG00000000631",17265,40783,31463,34872,29756,24788,25096,24658,22416,22622,25808,26220
"ENSMUSG00000000632",9,19,10,12,17,12,20,12,30,4,16,15
"ENSMUSG00000000673",2,5,4,2,3,7,3,0,0,3,3,7
"ENSMUSG00000000682",41,50,14,39,54,57,17,10,11,27,74,15
"ENSMUSG00000000686",23,27,32,14,27,33,13,11,12,24,24,28
"ENSMUSG00000000690",7,12,12,13,26,18,8,25,14,21,11,32
"ENSMUSG00000000693",189,375,299,252,354,283,275,174,208,199,202,210
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000708",7124,10971.99,11620.97,10432.99,10636.99,9756.99,10523.98,10577.98,10117.99,10163,11208.99,10232
"ENSMUSG00000000711",6903.78,10549.92,10847.92,9519.47,9856.62,9201.85,10653.99,9612.49,10234.21,9971.87,10881.7,10663.46
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,4,0,0,3
"ENSMUSG00000000730",0,2,0,0,0,0,0,1,1,1,1,4
